Prime Minister,Start Date,End Date,Political Party
David Cameron,11/05/2010,NA,Conservatives
Gordon Brown,27/06/2007,11/05/2010,Labour
Tony Blair,02/05/1997,27/06/2007,Labour
John Major,28/11/1990,02/05/1997,Conservatives
Margaret Thatcher,04/05/1979,28/11/1990,Conservatives
James Callaghan,05/04/1976,04/05/1979,Labour
Harold Wilson,04/03/1974,05/04/1976,Labour
Edward Heath,19/06/1970,04/03/1974,Conservatives
Harold Wilson,16/10/1964,19/06/1970,Labour
Alec Douglas-Home,19/10/1963,16/10/1964,Conservatives
Harold Macmillan,10/01/1957,19/10/1963,Conservatives
Anthony Eden,06/04/1955,10/01/1957,Conservatives
Winston Churchill,26/10/1951,06/04/1955,Conservatives
Clement Attlee,26/07/1945,26/10/1951,Labour
Winston Churchill,10/05/1940,26/07/1945,Conservatives
Neville Chamberlain,28/05/1937,10/05/1940,Conservatives
Stanley Baldwin,07/06/1935,28/05/1937,Conservatives
James Ramsay MacDonald,05/06/1929,07/06/1935,Labour
Stanley Baldwin,04/11/1924,05/06/1929,Conservatives
James Ramsay MacDonald,22/01/1924,07/06/1924,Labour
Stanley Baldwin,23/05/1923,16/01/1924,Conservatives
Andrew Bonar Law,23/10/1922,22/05/1923,Conservatives
David Lloyd George,06/12/1916,19/10/1922,Liberal Democrat
Herbert Henry Asquith,05/04/1908,05/12/1916,Liberal Democrat